R,between_js_bits,covariance_effective_rank,covariance_trace,generator_family,layer,mean_entropy_bits,mean_target_margin,mean_target_probability,model_seed,n_realizations,nuisance_count,predictive_family_id,top1_accuracy,within_js_bits
10.370178249954519,0.5321022412212542,3.967997138878581,10.647218296257876,contiguous_ngram,2,0.9115005731582642,0.31624144315719604,0.55009417856733,11,12,8,contiguous_ngram:r2,0.5833333333333334,0.05131080955369189
4174.700715237148,0.7484019539308078,2.8687791807194722,17.76277153639185,contiguous_ngram,3,0.005501580041406366,9.190330743789673,0.9995261033376058,11,12,8,contiguous_ngram:r2,1.0,0.00017927080406009274
758976403877.0009,0.7589764038770008,0.0,0.0,skip_gram,0,0.009352514520287514,-8.52214241027832,0.00019887306552845985,11,12,0,skip_gram:r0,0.0,0.0
784642559556.5186,0.7846425595565185,0.0,0.0,skip_gram,1,0.9271591901779175,-4.404336452484131,0.0091808857396245,11,12,0,skip_gram:r0,0.0,0.0
789522536852.4961,0.7895225368524961,0.0,0.0,skip_gram,2,0.2570119798183441,-3.558116912841797,0.027507035061717033,11,12,0,skip_gram:r0,0.0,0.0
747868527290.2701,0.7478685272902701,0.0,0.0,skip_gram,3,0.0007329771760851145,10.949069023132324,0.9999591112136841,11,12,0,skip_gram:r0,1.0,0.0
246.84308951759718,0.7633990465881002,4.253877777924701,3.1705036178379276,skip_gram,0,0.09894057572819293,-6.0711764097213745,0.006781864699102395,11,12,4,skip_gram:r0,0.0,0.0030926490511847134
19.78688913733771,0.6070352942702415,3.7101379498979523,3.9575889326443923,skip_gram,1,0.7599757860104243,-3.720236281553904,0.051145353684357055,11,12,4,skip_gram:r0,0.0,0.03067866252531685
6.234865037252936,0.5726061488463674,3.2855087833141696,5.62605176197632,skip_gram,2,0.639226229240497,-1.2952213337024052,0.2784526419515411,11,12,4,skip_gram:r0,0.25,0.09183938151428793
14229.091430900324,0.7492817152190395,1.793990227546545,12.57175143072703,skip_gram,3,0.002749292912388531,9.490952253341675,0.9998112668593725,11,12,4,skip_gram:r0,1.0,5.265843703779124e-05
340.1414041739174,0.7686159615055513,3.6920922313846645,2.701988085113969,skip_gram,0,0.14452471490949392,-5.187503337860107,0.009700129230623133,11,12,8,skip_gram:r0,0.0,0.0022596953857242
42.39406463297432,0.5388904799115327,2.927501622398838,3.5233071902854665,skip_gram,1,0.755308672785759,-3.534977207581202,0.04116993482845525,11,12,8,skip_gram:r0,0.0,0.012711460544700424
3.8342500327681335,0.5029534953936454,1.6537557515384524,7.798411503038172,skip_gram,2,0.6460000115136305,-0.4014956106742223,0.4384328269710143,11,12,8,skip_gram:r0,0.5,0.13117389087704814
