depth_index,fraction_top1,generator_family,margin_snr,mean_output_entropy,mean_target_margin,mean_target_probability,model_seed,nuisance_count,predictive_family_id,within_family_JS
7,1.0,skip_gram,8.92718613732819,0.0010555578470909193,11.052613973617554,0.9999305506547292,11,8,skip_gram:r1,2.405053160818083e-05
8,1.0,skip_gram,8.558874686906348,0.00047078216387793265,12.40827488899231,0.9999718815088272,11,8,skip_gram:r1,1.1465530661205429e-05
0,0.0,skip_gram,-347796.4782714844,6.107893568696454e-07,-34.77964782714844,7.859426546972745e-16,11,0,skip_gram:r2,0.0
1,0.0,skip_gram,-287192.13485717773,1.9045503449888201e-06,-28.719213485717773,3.3682480632749034e-13,11,0,skip_gram:r2,0.0
2,0.0,skip_gram,-50476.52244567871,0.10525178909301758,-5.047652244567871,0.006351844407618046,11,0,skip_gram:r2,0.0
3,0.0,skip_gram,-35531.33010864258,0.19773364067077637,-3.553133010864258,0.027807066217064857,11,0,skip_gram:r2,0.0
4,1.0,skip_gram,33779.92630004883,0.2432449609041214,3.377992630004883,0.9642276763916016,11,0,skip_gram:r2,0.0
5,1.0,skip_gram,21750.564575195312,0.5361268520355225,2.1750564575195312,0.892552375793457,11,0,skip_gram:r2,0.0
6,1.0,skip_gram,54691.219329833984,0.05608423799276352,5.469121932983398,0.9945414662361145,11,0,skip_gram:r2,0.0
7,1.0,skip_gram,29055.99594116211,0.4978504776954651,2.905599594116211,0.9263470768928528,11,0,skip_gram:r2,0.0
8,1.0,skip_gram,12407.17887878418,1.8307467699050903,1.240717887878418,0.6385505795478821,11,0,skip_gram:r2,0.0
0,0.0,skip_gram,-347796.4782714844,6.107893568696454e-07,-34.77964782714844,7.859426546972745e-16,11,4,skip_gram:r2,0.0
1,0.0,skip_gram,-18.740341176998015,2.698979521653655e-05,-28.302284717559814,2.9071808561380625e-12,11,4,skip_gram:r2,4.1567444151543615e-07
2,0.0,skip_gram,-2.643087967239085,0.4020730710277955,-2.8559953371683755,0.07665204113194098,11,4,skip_gram:r2,0.010197771249646092
3,0.0,skip_gram,-1.5733409396952198,0.6537424214184284,-1.7693982124328613,0.18960437597706914,11,4,skip_gram:r2,0.0249757431955282
4,1.0,skip_gram,3.377484479986298,0.30830637986461323,3.513362248738607,0.9479476064443588,11,4,skip_gram:r2,0.009235420440420342
5,1.0,skip_gram,3.3427540614889444,0.3232871014624834,3.3918724854787192,0.9444718857606252,11,4,skip_gram:r2,0.011603170522675033
6,1.0,skip_gram,3.000947595447141,0.1725140466975669,4.439532518386841,0.9707845151424408,11,4,skip_gram:r2,0.008076734167624482
7,1.0,skip_gram,5.726247743919694,0.021959010084780555,7.035773992538452,0.9978898813327154,11,4,skip_gram:r2,0.0005128182380966871
8,1.0,skip_gram,4.766636041657184,0.023381993853642296,7.761462767918904,0.9979902555545171,11,4,skip_gram:r2,0.0005388223091648546
0,0.0,skip_gram,-347796.4782714844,6.107893568696454e-07,-34.77964782714844,7.859426546972745e-16,11,8,skip_gram:r2,0.0
1,0.0,skip_gram,-12.574920891129949,0.00011789596016834973,-27.9886736869812,2.2691812130927463e-11,11,8,skip_gram:r2,3.7497452880002577e-06
2,0.16666666666666666,skip_gram,-0.9959226411166184,0.6710664381583532,-1.4691985448201497,0.2533952278705935,11,8,skip_gram:r2,0.053112192635520084
3,0.4166666666666667,skip_gram,-0.13426596781587105,0.7903107653061548,-0.2591280937194824,0.4278550123174985,11,8,skip_gram:r2,0.10400895531667205
4,1.0,skip_gram,4.209416418084828,0.28337137897809345,3.4871064821879068,0.9553404897451401,11,8,skip_gram:r2,0.008447846728055047
5,1.0,skip_gram,2.8000201934437836,0.4355687250693639,2.8670737743377686,0.9122559974590937,11,8,skip_gram:r2,0.015159803713099116
6,1.0,skip_gram,2.480092798107572,0.45660143718123436,2.5426766872406006,0.8927415857712427,11,8,skip_gram:r2,0.016200518328231595
7,1.0,skip_gram,7.675771085349831,0.00568379508331418,8.505228519439697,0.9995481620232264,11,8,skip_gram:r2,0.0001408172266308318
8,1.0,skip_gram,11.668428360049836,0.0013512465593521483,10.434913794199625,0.9999182522296906,11,8,skip_gram:r2,2.3460749983100575e-05
0,0.0,binary_functor,-266178.3981323242,1.413531776961463e-06,-26.617839813232422,2.7543494828669024e-12,23,0,binary_functor:r0,0.0
1,0.0,binary_functor,-107402.98271179199,0.000640175596345216,-10.7402982711792,2.1653697331203148e-05,23,0,binary_functor:r0,0.0
2,1.0,binary_functor,5761.737823486328,0.9479289054870605,0.5761737823486328,0.6399213075637817,23,0,binary_functor:r0,0.0
3,0.0,binary_functor,-26893.081665039062,0.7896440029144287,-2.6893081665039062,0.056982655078172684,23,0,binary_functor:r0,0.0
4,1.0,binary_functor,30228.958129882812,0.35214126110076904,3.0228958129882812,0.9437315464019775,23,0,binary_functor:r0,0.0
5,0.0,binary_functor,-1052.7420043945312,1.6393425464630127,-0.10527420043945312,0.360546737909317,23,0,binary_functor:r0,0.0
6,1.0,binary_functor,4673.76708984375,1.3621426820755005,0.467376708984375,0.5679833889007568,23,0,binary_functor:r0,0.0
7,1.0,binary_functor,91303.95889282227,0.001668994314968586,9.130395889282227,0.9998873472213745,23,0,binary_functor:r0,0.0
8,1.0,binary_functor,98259.5443725586,0.0009021910955198109,9.82595443725586,0.9999433755874634,23,0,binary_functor:r0,0.0
0,0.0,binary_functor,-266178.3981323242,1.413531776961463e-06,-26.617839813232422,2.7543494828669024e-12,23,4,binary_functor:r0,0.0
1,0.0,binary_functor,-18.1618048747438,0.00091496653961561,-10.167052427927652,4.424341879409136e-05,23,4,binary_functor:r0,2.437594190710685e-06
2,0.9166666666666666,binary_functor,1.5996540245594817,0.7690934787193934,1.1573580106099446,0.740047829846541,23,4,binary_functor:r0,0.015642011438944895
3,0.0,binary_functor,-3.8154032917466214,0.9231223513682684,-2.3350836435953775,0.08669790889446934,23,4,binary_functor:r0,0.010271318471905851
4,1.0,binary_functor,2.9638795770404758,0.5369557216763496,2.717580477396647,0.8965887477000555,23,4,binary_functor:r0,0.00840738884112761
