cumulative_fluctuation_variance,cumulative_signal,layer_i,layer_j,model_seed,nuisance_count,predictive_family_id,update_covariance
0.0,34.33525848388672,5,7,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,0,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,1,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,2,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,3,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,4,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,5,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,6,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,6,7,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,0,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,1,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,2,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,3,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,4,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,5,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,6,11,0,contiguous_ngram:r1,0.0
0.0,34.33525848388672,7,7,11,0,contiguous_ngram:r1,0.0
0.0,40.00246620178223,0,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,0,1,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,0,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,0,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,0,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,0,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,0,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,0,7,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,1,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,1,7,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,2,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,2,1,11,0,contiguous_ngram:r2,0.0
