fraction_positive_margin_update,from_depth,margin_update_snr,mean_margin_update,model_seed,nuisance_count,predictive_family_id,to_depth,var_margin_update
0.8333333333333334,4,1.1751185202050423,0.8632705211639404,11,4,contiguous_ngram:r0,5,0.5396727234800355
1.0,5,2.8374950321493904,2.7274608612060547,11,4,contiguous_ngram:r0,6,0.9239465022665999
1.0,6,3.8739055827776836,10.639665444691977,11,4,contiguous_ngram:r0,7,7.54323916985708
0.0,7,-2.302357434196712,-3.0891478061676025,11,4,contiguous_ngram:r0,8,1.8002460864809315
1.0,0,3.962719189899302,10.478825092315674,11,8,contiguous_ngram:r0,1,6.992598350640781
1.0,1,11.899965645527692,19.53142786026001,11,8,contiguous_ngram:r0,2,2.6938695869983516
0.9166666666666666,2,0.8744567096553306,1.1506133079528809,11,8,contiguous_ngram:r0,3,1.7313391516906698
0.75,3,0.7589650564722447,0.3167683283487956,11,8,contiguous_ngram:r0,4,0.17419669970287496
1.0,4,1.5580974355657513,1.363182544708252,11,8,contiguous_ngram:r0,5,0.7654534720450101
1.0,5,3.4937808727886663,3.3674874305725098,11,8,contiguous_ngram:r0,6,0.9290105200119466
1.0,6,3.627093296533691,8.800124883651733,11,8,contiguous_ngram:r0,7,5.886541547828384
0.0,7,-3.564751818641925,-3.06482203801473,11,8,contiguous_ngram:r0,8,0.7391829060600987
1.0,0,302542495.72753906,3.0254249572753906,11,0,contiguous_ngram:r1,1,0.0
1.0,1,1422346782.6843262,14.223467826843262,11,0,contiguous_ngram:r1,2,0.0
1.0,2,900215053.5583496,9.002150535583496,11,0,contiguous_ngram:r1,3,0.0
1.0,3,123628997.80273438,1.2362899780273438,11,0,contiguous_ngram:r1,4,0.0
1.0,4,426233100.8911133,4.262331008911133,11,0,contiguous_ngram:r1,5,0.0
1.0,5,81850051.87988281,0.8185005187988281,11,0,contiguous_ngram:r1,6,0.0
1.0,6,171097087.86010742,1.7109708786010742,11,0,contiguous_ngram:r1,7,0.0
1.0,7,5612277.984619141,0.056122779846191406,11,0,contiguous_ngram:r1,8,0.0
1.0,0,2.5709374302814463,4.124651908874512,11,4,contiguous_ngram:r1,1,2.5738995048440385
1.0,1,17.410929468616548,13.174813588460287,11,4,contiguous_ngram:r1,2,0.5725916813026385
1.0,2,10.09878429264506,8.982142448425293,11,4,contiguous_ngram:r1,3,0.791082313666431
0.9166666666666666,3,1.5752535835923611,0.7891359329223633,11,4,contiguous_ngram:r1,4,0.2509589383973269
1.0,4,1.4014095260816153,1.233171542485555,11,4,contiguous_ngram:r1,5,0.7743135295570621
1.0,5,1.731344462110557,0.7785842418670654,11,4,contiguous_ngram:r1,6,0.20222937308742736
1.0,6,2.7652663272807323,5.119641145070394,11,4,contiguous_ngram:r1,7,3.4277181664971947
1.0,7,2.0221673699893556,0.9934857686360677,11,4,contiguous_ngram:r1,8,0.24137322133758446
1.0,0,3.3915579944472034,5.272117296854655,11,8,contiguous_ngram:r1,1,2.4164155795692888
1.0,1,13.66942308803892,12.776554743448893,11,8,contiguous_ngram:r1,2,0.8736291961028627
1.0,2,4.691315571695906,7.982585271199544,11,8,contiguous_ngram:r1,3,2.895328413598911
0.8333333333333334,3,1.0301755167464086,0.5901807943979899,11,8,contiguous_ngram:r1,4,0.32820688080845906
0.75,4,0.6454519533382722,0.3813045024871826,11,8,contiguous_ngram:r1,5,0.34899243532678076
1.0,5,1.2560986411219386,0.5994895299275717,11,8,contiguous_ngram:r1,6,0.22778005598201795
1.0,6,3.585743789538319,6.399510383605957,11,8,contiguous_ngram:r1,7,3.1851873443794663
0.9166666666666666,7,1.9467693840802365,1.0439075628916423,11,8,contiguous_ngram:r1,8,0.28753787337311193
1.0,0,719550704.9560547,7.195507049560547,11,0,contiguous_ngram:r2,1,0.0
1.0,1,2049037742.614746,20.49037742614746,11,0,contiguous_ngram:r2,2,0.0
1.0,2,325034332.2753906,3.2503433227539062,11,0,contiguous_ngram:r2,3,0.0
1.0,3,700176715.8508301,7.001767158508301,11,0,contiguous_ngram:r2,4,0.0
1.0,4,29342842.10205078,0.2934284210205078,11,0,contiguous_ngram:r2,5,0.0
1.0,5,173776721.9543457,1.737767219543457,11,0,contiguous_ngram:r2,6,0.0
1.0,6,80187892.91381836,0.8018789291381836,11,0,contiguous_ngram:r2,7,0.0
0.0,7,-76860332.48901367,-0.7686033248901367,11,0,contiguous_ngram:r2,8,0.0
1.0,0,2.6431620542809817,5.673860232035319,11,4,contiguous_ngram:r2,1,4.607970402052712
1.0,1,11.739825989403757,24.927968740463257,11,4,contiguous_ngram:r2,2,4.508690864561624
1.0,2,2.4531692697335283,1.9396581649780273,11,4,contiguous_ngram:r2,3,0.625166006816223
1.0,3,1.7673658552385005,4.3430055777231855,11,4,contiguous_ngram:r2,4,6.038483028296875
0.16666666666666666,4,-0.8246448760678867,-1.0390448570251465,11,4,contiguous_ngram:r2,5,1.5875764850335061
0.4166666666666667,5,-0.5232431934878372,-0.24000891049702963,11,4,contiguous_ngram:r2,6,0.2104008726930853
1.0,6,2.74234867722868,6.096248149871826,11,4,contiguous_ngram:r2,7,4.9417403696986435
0.8333333333333334,7,0.8987297031601197,1.4172873497009277,11,4,contiguous_ngram:r2,8,2.4868960076649853
1.0,0,3.8051899985971454,6.507260163625081,11,8,contiguous_ngram:r2,1,2.924446242543595
1.0,1,12.600517662943004,26.17388661702474,11,8,contiguous_ngram:r2,2,4.3147899092723625
1.0,2,1.970914990416491,1.5478070576985676,11,8,contiguous_ngram:r2,3,0.6167339396214437
1.0,3,1.3424530913794241,2.3684118588765464,11,8,contiguous_ngram:r2,4,3.1125490949642693
0.08333333333333333,4,-2.023305196691842,-1.3853754202524822,11,8,contiguous_ngram:r2,5,0.46882649731948284
0.4166666666666667,5,-0.211993895432012,-0.11610102653503418,11,8,contiguous_ngram:r2,6,0.29993378846403507
1.0,6,2.9361044591302674,7.176797231038411,11,8,contiguous_ngram:r2,7,5.974730815578588
1.0,7,2.3576911750057885,1.69729216893514,11,8,contiguous_ngram:r2,8,0.5182500671459792
1.0,0,507447052.0019531,5.074470520019531,11,0,skip_gram:r0,1,0.0
1.0,1,1872043704.9865723,18.720437049865723,11,0,skip_gram:r0,2,0.0
1.0,2,416256332.39746094,4.162563323974609,11,0,skip_gram:r0,3,0.0
0.0,3,-4475688.934326172,-0.04475688934326172,11,0,skip_gram:r0,4,0.0
0.0,4,-57889556.884765625,-0.5788955688476562,11,0,skip_gram:r0,5,0.0
1.0,5,142511558.53271484,1.4251155853271484,11,0,skip_gram:r0,6,0.0
1.0,6,1394338703.1555176,13.943387031555176,11,0,skip_gram:r0,7,0.0
1.0,7,56379890.44189453,0.5637989044189453,11,0,skip_gram:r0,8,0.0
1.0,0,3.4866646669048946,6.227116107940674,11,4,skip_gram:r0,1,3.189727338002575
1.0,1,12.589702646082653,20.01875837643941,11,4,skip_gram:r0,2,2.5283856953269126
0.9166666666666666,2,2.260642107104468,2.5151966412862143,11,4,skip_gram:r0,3,1.2378848729582443
0.25,3,-0.3536348563375485,-0.16425649325052896,11,4,skip_gram:r0,4,0.2157421212863083
0.5833333333333334,4,0.27991350037574964,0.14869221051534018,11,4,skip_gram:r0,5,0.28218162426896654
1.0,5,3.314198587657001,2.2763227621714273,11,4,skip_gram:r0,6,0.47174859333798247
1.0,6,9.61633723487728,11.83893871307373,11,4,skip_gram:r0,7,1.5156752791563948
0.3333333333333333,7,-0.6334830712647492,-1.052765130996704,11,4,skip_gram:r0,8,2.761804619735089
1.0,0,3.9218331951478693,8.904222011566162,11,8,skip_gram:r0,1,5.154822548635821
1.0,1,14.660561480949921,18.22532558441162,11,8,skip_gram:r0,2,1.5454301362740146
1.0,2,2.6666888157144815,2.004718065261841,11,8,skip_gram:r0,3,0.5651476388558918
0.0,3,-1.5000071571882814,-0.3521919250488281,11,8,skip_gram:r0,4,0.055127981251974816
0.8333333333333334,4,0.7620468465802734,0.5339592297871908,11,8,skip_gram:r0,5,0.49096761117881677
1.0,5,2.8016297454464665,2.599522352218628,11,8,skip_gram:r0,6,0.8609256027671729
