direction,generator_family,input_delta_norm,jvp_cosine,layer,model_seed,observed_delta_norm,prediction_space_relative_error,predictive_family_id,relative_norm_error
nuisance,skip_gram,0.0,0.7741581201553345,0,11,3.1918997764587402,0.5169183611869812,skip_gram:r2,0.6761585474014282
nuisance,skip_gram,3.1918997764587402,0.9883095026016235,1,11,3.538357973098755,0.1562313735485077,skip_gram:r2,0.15383970737457275
nuisance,skip_gram,3.538357973098755,0.9763296842575073,2,11,3.804744243621826,0.20686639845371246,skip_gram:r2,0.218244269490242
nuisance,skip_gram,3.804744243621826,0.999248206615448,3,11,5.664857387542725,0.047723907977342606,skip_gram:r2,0.05104697123169899
signal,skip_gram,9.038371086120605,0.7261180281639099,0,11,11.939878463745117,0.473298043012619,skip_gram:r2,0.7292842268943787
signal,skip_gram,11.939878463745117,0.936665952205658,1,11,15.259180068969727,0.2645784318447113,skip_gram:r2,0.4282554090023041
signal,skip_gram,15.259180068969727,0.7825356125831604,2,11,17.434141159057617,0.5458070635795593,skip_gram:r2,0.7831748127937317
signal,skip_gram,17.434141159057617,0.9816267490386963,3,11,20.431467056274414,0.21728269755840302,skip_gram:r2,0.21184739470481873
nuisance,binary_functor,0.0,0.3393799066543579,0,23,2.4504339694976807,0.9475429654121399,binary_functor:r0,1.0268819332122803
nuisance,binary_functor,2.4504339694976807,0.9855084419250488,1,23,2.2573540210723877,0.12356917560100555,binary_functor:r0,0.17301368713378906
nuisance,binary_functor,2.2573540210723877,0.9940463900566101,2,23,2.0949323177337646,0.08647847175598145,binary_functor:r0,0.1114802286028862
nuisance,binary_functor,2.0949323177337646,0.9959642291069031,3,23,2.2691502571105957,0.09288957715034485,binary_functor:r0,0.09525012969970703
signal,binary_functor,9.905553817749023,0.8045555353164673,0,23,9.853059768676758,0.4931778609752655,binary_functor:r0,0.6337507963180542
signal,binary_functor,9.853059768676758,0.6310540437698364,1,23,16.5384521484375,0.5500022768974304,binary_functor:r0,0.8352766036987305
signal,binary_functor,16.5384521484375,0.8731195330619812,2,23,24.16722869873047,0.5227406024932861,binary_functor:r0,0.5148981213569641
signal,binary_functor,24.16722869873047,0.9550178050994873,3,23,24.5257511138916,0.18900957703590393,binary_functor:r0,0.34113672375679016
nuisance,binary_functor,0.0,0.702694833278656,0,23,2.680785894393921,0.6936419606208801,binary_functor:r1,0.8324021100997925
nuisance,binary_functor,2.680785894393921,0.9876940846443176,1,23,3.245673418045044,0.1661650538444519,binary_functor:r1,0.17341458797454834
nuisance,binary_functor,3.245673418045044,0.9972521066665649,2,23,3.267024517059326,0.08026295900344849,binary_functor:r1,0.07498076558113098
nuisance,binary_functor,3.267024517059326,0.9920012354850769,3,23,3.315218687057495,0.10670007020235062,binary_functor:r1,0.12715642154216766
signal,binary_functor,9.905553817749023,0.8988670706748962,0,23,9.853059768676758,0.3832680881023407,binary_functor:r1,0.46314430236816406
signal,binary_functor,9.853059768676758,0.8260175585746765,1,23,16.5384521484375,0.39026114344596863,binary_functor:r1,1.1098833084106445
signal,binary_functor,16.5384521484375,0.9561862945556641,2,23,24.16722869873047,0.25698763132095337,binary_functor:r1,0.29828882217407227
signal,binary_functor,24.16722869873047,0.8954487442970276,3,23,24.5257511138916,0.4770599901676178,binary_functor:r1,0.6690731048583984
nuisance,binary_functor,0.0,0.650172233581543,0,23,1.6331634521484375,1.2319071292877197,binary_functor:r2,1.3492835760116577
nuisance,binary_functor,1.6331634521484375,0.9906039834022522,1,23,2.335963010787964,0.12204565852880478,binary_functor:r2,0.13972927629947662
nuisance,binary_functor,2.335963010787964,0.9968530535697937,2,23,4.398134708404541,0.0816812813282013,binary_functor:r2,0.08920487761497498
nuisance,binary_functor,4.398134708404541,0.9997010827064514,3,23,5.892259120941162,0.0219138041138649,binary_functor:r2,0.02459990233182907
signal,binary_functor,8.686946868896484,0.8557562828063965,0,23,9.905196189880371,0.3918388783931732,binary_functor:r2,0.5472753047943115
signal,binary_functor,9.905196189880371,0.8842710852622986,1,23,13.727087020874023,0.2992096245288849,binary_functor:r2,0.5043358206748962
signal,binary_functor,13.727087020874023,0.985737144947052,2,23,18.12047004699707,0.14497709274291992,binary_functor:r2,0.16852785646915436
signal,binary_functor,18.12047004699707,0.9940015077590942,3,23,19.510149002075195,0.09089284390211105,binary_functor:r2,0.10941890627145767
nuisance,contiguous_ngram,0.0,0.7192494869232178,0,23,1.6302775144577026,1.0451724529266357,contiguous_ngram:r0,1.1495376825332642
nuisance,contiguous_ngram,1.6302775144577026,0.8918945789337158,1,23,1.8231045007705688,0.49223366379737854,contiguous_ngram:r0,0.4813132882118225
nuisance,contiguous_ngram,1.8231045007705688,0.9912112951278687,2,23,2.0538086891174316,0.13839545845985413,contiguous_ngram:r0,0.16316506266593933
nuisance,contiguous_ngram,2.0538086891174316,0.9921743869781494,3,23,2.0278632640838623,0.09853654354810715,contiguous_ngram:r0,0.12718713283538818
signal,contiguous_ngram,9.905553817749023,0.667076587677002,0,23,8.965936660766602,0.5917156338691711,contiguous_ngram:r0,0.8522989153862
signal,contiguous_ngram,8.965936660766602,0.47795984148979187,1,23,19.57434844970703,0.703164279460907,contiguous_ngram:r0,0.9172754883766174
signal,contiguous_ngram,19.57434844970703,0.9277927279472351,2,23,29.08362579345703,0.36322352290153503,contiguous_ngram:r0,0.4397106468677521
signal,contiguous_ngram,29.08362579345703,0.9759834408760071,3,23,31.033920288085938,0.1329381763935089,contiguous_ngram:r0,0.2605172097682953
nuisance,contiguous_ngram,0.0,0.7297695875167847,0,23,1.2448455095291138,0.7503939867019653,contiguous_ngram:r1,0.7165341377258301
nuisance,contiguous_ngram,1.2448455095291138,0.9795361161231995,1,23,2.9443750381469727,0.21910269558429718,contiguous_ngram:r1,0.20763014256954193
nuisance,contiguous_ngram,2.9443750381469727,0.6988017559051514,2,23,2.276203155517578,0.8280814290046692,contiguous_ngram:r1,0.8922454714775085
nuisance,contiguous_ngram,2.276203155517578,0.9974656105041504,3,23,2.300119161605835,0.07652653008699417,contiguous_ngram:r1,0.07122664898633957
signal,contiguous_ngram,9.905553817749023,0.8658936023712158,0,23,8.965936660766602,0.45581862330436707,contiguous_ngram:r1,0.5138990879058838
signal,contiguous_ngram,8.965936660766602,0.8891928195953369,1,23,19.57434844970703,0.34806016087532043,contiguous_ngram:r1,1.0015231370925903
signal,contiguous_ngram,19.57434844970703,0.9598026275634766,2,23,29.08362579345703,0.2646385431289673,contiguous_ngram:r1,0.3235572576522827
signal,contiguous_ngram,29.08362579345703,0.9283043146133423,3,23,31.033920288085938,0.5560634732246399,contiguous_ngram:r1,0.5447089672088623
nuisance,contiguous_ngram,0.0,0.31499624252319336,0,23,1.1852507591247559,2.1361615657806396,contiguous_ngram:r2,2.2973179817199707
nuisance,contiguous_ngram,1.1852507591247559,0.987404465675354,1,23,1.3575239181518555,0.17550238966941833,contiguous_ngram:r2,0.16088806092739105
nuisance,contiguous_ngram,1.3575239181518555,0.9952512979507446,2,23,1.3860095739364624,0.10275908559560776,contiguous_ngram:r2,0.09752564132213593
nuisance,contiguous_ngram,1.3860095739364624,0.9983720183372498,3,23,1.7124532461166382,0.045340701937675476,contiguous_ngram:r2,0.0689365342259407
signal,contiguous_ngram,8.686946868896484,0.8944112658500671,0,23,9.955574035644531,0.37860536575317383,contiguous_ngram:r2,0.4524421691894531
signal,contiguous_ngram,9.955574035644531,0.9100621342658997,1,23,14.12766170501709,0.26971614360809326,contiguous_ngram:r2,0.45871326327323914
signal,contiguous_ngram,14.12766170501709,0.9647302627563477,2,23,18.92128562927246,0.22541439533233643,contiguous_ngram:r2,0.2721615135669708
signal,contiguous_ngram,18.92128562927246,0.9928309917449951,3,23,21.350540161132812,0.1129189133644104,contiguous_ngram:r2,0.12122581154108047
nuisance,skip_gram,0.0,0.7841227054595947,0,23,1.3867719173431396,0.9309754371643066,skip_gram:r0,1.1644470691680908
nuisance,skip_gram,1.3867719173431396,0.9597797393798828,1,23,1.9946534633636475,0.27959054708480835,skip_gram:r0,0.29516613483428955
nuisance,skip_gram,1.9946534633636475,0.98283851146698,2,23,2.131587028503418,0.2253679633140564,skip_gram:r0,0.20028258860111237
nuisance,skip_gram,2.131587028503418,0.9991499185562134,3,23,2.6848769187927246,0.04227321222424507,skip_gram:r0,0.04828528314828873
signal,skip_gram,9.905553817749023,0.8327429294586182,0,23,8.614211082458496,0.4467390477657318,skip_gram:r0,0.6624323725700378
signal,skip_gram,8.614211082458496,0.6546797156333923,1,23,12.825498580932617,0.500625491142273,skip_gram:r0,0.8317662477493286
