final_correct,first_top1_layer,generator_family,model_seed,nuisance_count,predictive_family_id,settling_delay,stable_top1_layer,surface_identity_id,top1_reversal_count
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:2,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:2,1
1,3,skip_gram,11,0,skip_gram:r1,0,3,test:3,1
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:3,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:3,1
1,3,skip_gram,11,0,skip_gram:r1,0,3,test:4,1
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:4,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:4,1
1,3,skip_gram,11,0,skip_gram:r1,0,3,test:5,1
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:5,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:5,1
1,3,skip_gram,11,0,skip_gram:r1,0,3,test:6,1
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:6,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:6,1
1,3,skip_gram,11,0,skip_gram:r1,0,3,test:7,1
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:7,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:7,1
1,3,skip_gram,11,0,skip_gram:r1,0,3,test:8,1
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:8,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:8,1
1,3,skip_gram,11,0,skip_gram:r1,0,3,test:9,1
1,3,skip_gram,11,4,skip_gram:r1,0,3,test:9,1
1,3,skip_gram,11,8,skip_gram:r1,0,3,test:9,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:0,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:0,1
1,4,skip_gram,11,8,skip_gram:r2,0,4,test:0,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:1,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:1,1
1,3,skip_gram,11,8,skip_gram:r2,0,3,test:1,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:10,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:10,1
1,4,skip_gram,11,8,skip_gram:r2,0,4,test:10,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:11,1
