R,between_family_JS,boundary,chi_representation,class_centroid_separation,correct_target_signal,depth_index,fluctuation_variance,fraction_stably_top1,fraction_top1,generator_family,margin_snr,mean_output_entropy,mean_target_logprob,mean_target_margin,mean_target_probability,mean_target_rank,model_seed,n_realizations,nuisance_count,predictive_family_id,q_representation,representation_covariance_trace,robust_margin_snr,var_target_margin,var_target_probability,within_family_JS
35.33370300505629,0.7567289668977543,layer0_post_block,0.04944537214921918,70.9423550264721,-1.8973862330118816,2,0.8992400236363184,0.0,0.0,binary_functor,-2.000865650081096,1.0210635960102081,-2.2158600836992264,-1.8973862330118816,0.14490720257163048,2.5,11,12,8,binary_functor:r0,3.507771145425943,2.6839736354247696,-3.5203770094198843,0.8992400236363184,0.014118429971344104,0.021416633484168515
42.17330759370139,0.5579288214867839,layer1_post_sa,0.05136910870684088,82.97357062644306,-2.9727986653645835,3,1.1556155293049717,0.0,0.0,binary_functor,-2.7654054270393837,0.43249298880497616,-3.066330373287201,-2.9727986653645835,0.07457672618329525,2.0,11,12,8,binary_functor:r0,4.262278369304493,2.8666635411599612,-3.039111717011347,1.1556155293049717,0.006285868915532632,0.01322943001914583
51.7838195210786,0.5339661754230932,layer1_post_block,0.05046254962213031,96.90429309674006,-3.0760331948598227,4,1.0598400843380755,0.0,0.0,binary_functor,-2.9879329342212926,0.40036280701557797,-3.155792514483134,-3.0760331948598227,0.0651611202241232,2.0,11,12,8,binary_functor:r0,4.890037698991705,3.210080438999068,-3.397437821619183,1.0598400843380755,0.00402792500210555,0.010311448254714821
15.840341599715124,0.4611301668561422,layer2_post_sa,0.05293370887599531,109.87692775560818,-2.2383182843526206,5,1.4278894185226543,0.0,0.0,binary_functor,-1.873158611547598,0.5443141423165798,-2.4204241732756295,-2.2383182843526206,0.14351218830173215,2.0,11,12,8,binary_functor:r0,5.8161933060041315,3.825058914253871,-3.5294258855213028,1.4278894185226543,0.0249218106577391,0.02911112515808594
9.039813960587235,0.5143789137248103,layer2_post_block,0.05486403282960965,123.9775696123282,0.15517600377400717,6,2.103459710588278,0.5,0.5,binary_functor,0.10699351695097556,0.8406312664349874,-0.8223602321619788,0.15517600377400717,0.512368510166804,1.5,11,12,8,binary_functor:r0,6.80190944934599,4.399892306099939,0.07314014227870388,2.103459710588278,0.0680559384789994,0.05690149332358557
106463.42572138192,0.7484447298185141,layer3_post_sa,0.054290659624778345,127.87688820832945,10.272683382034302,7,0.8630195881790272,1.0,1.0,binary_functor,11.057923311280675,0.0009001983429091828,-5.6378571950214486e-05,10.272683382034302,0.9999436239401499,1.0,11,12,8,binary_functor:r0,6.9425206115942455,4.329029341826921,8.06202418634343,0.8630195881790272,2.014258066737691e-09,7.030064313139961e-06
41311.518544493854,0.7489351719964661,layer3_post_block,0.06654098350745188,169.6271871359773,8.399900515874227,8,0.434122030409023,1.0,1.0,binary_functor,12.74876819890546,0.003648348084728544,-0.0002758563496172428,8.399900515874227,0.9997241944074631,1.0,11,12,8,binary_functor:r0,11.287159861630519,6.594408974081405,13.170484297558152,0.434122030409023,2.7730659546421066e-08,1.8128967377218014e-05
74999974.39229797,0.7499997439229797,pre_sa,0.0,55.03524797047682,-24.140153884887695,0,0.0,0.0,0.0,binary_functor,-241401.53884887695,0.00041774078272283077,-24.140178680419922,-24.140153884887695,3.281359906015524e-11,30.0,11,12,0,binary_functor:r1,0.0,0.0,-2414015388.4887695,0.0,0.0,0.0
75000040.42810623,0.7500004042810624,layer0_post_sa,0.0,71.84293877184456,-22.033281326293945,1,0.0,0.0,0.0,binary_functor,-220332.81326293945,0.00034144194796681404,-22.033300399780273,-22.033281326293945,2.698107570697772e-10,23.0,11,12,0,binary_functor:r1,0.0,0.0,-2203328132.6293945,0.0,0.0,0.0
75002257.92297533,0.7500225792297534,layer0_post_block,0.0,74.03362215980935,-8.279197692871094,2,0.0,0.0,0.0,binary_functor,-82791.97692871094,0.012050092220306396,-8.280146598815918,-8.279197692871094,0.0002535000385250896,3.0,11,12,0,binary_functor:r1,0.0,0.0,-827919769.2871094,0.0,0.0,0.0
79291114.54854164,0.7929111454854163,layer1_post_sa,0.0,96.07149584648445,-0.06423568725585938,3,0.0,0.0,0.0,binary_functor,-642.3568725585938,1.5023527145385742,-0.8351319432258606,-0.06423568725585938,0.4338172376155853,2.0,11,12,0,binary_functor:r1,0.0,0.0,-6423568.7255859375,0.0,0.0,0.0
73874592.61125705,0.7387459261125705,layer1_post_block,0.0,118.77287365456644,1.5134963989257812,4,0.0,1.0,1.0,binary_functor,15134.963989257812,1.3618829250335693,-0.36288920044898987,1.5134963989257812,0.6956635117530823,1.0,11,12,0,binary_functor:r1,0.0,0.0,151349639.89257812,0.0,0.0,0.0
73362922.82471019,0.733629228247102,layer2_post_sa,0.0,143.7087460138189,2.294534683227539,5,0.0,1.0,1.0,binary_functor,22945.34683227539,0.6615398526191711,-0.12548182904720306,2.294534683227539,0.8820717930793762,1.0,11,12,0,binary_functor:r1,0.0,0.0,229453468.3227539,0.0,0.0,0.0
72917086.31152458,0.7291708631152459,layer2_post_block,0.0,187.47695533864376,3.7284927368164062,6,0.0,1.0,1.0,binary_functor,37284.92736816406,0.34095609188079834,-0.047255318611860275,3.7284927368164062,0.9538438320159912,1.0,11,12,0,binary_functor:r1,0.0,0.0,372849273.6816406,0.0,0.0,0.0
74988920.95470664,0.7498892095470664,layer3_post_sa,0.0,192.2917962102406,10.588651657104492,7,0.0,1.0,1.0,binary_functor,105886.51657104492,0.0010505220852792263,-6.079858576413244e-05,10.588651657104492,0.9999392032623291,1.0,11,12,0,binary_functor:r1,0.0,0.0,1058865165.7104492,0.0,0.0,0.0
74962833.95027931,0.7496283395027932,layer3_post_block,0.0,322.55687266821667,12.039793014526367,8,0.0,1.0,1.0,binary_functor,120397.93014526367,0.0002961165155284107,-1.5139694369281642e-05,12.039793014526367,0.999984860420227,1.0,11,12,0,binary_functor:r1,0.0,0.0,1203979301.4526367,0.0,0.0,0.0
74999974.39229797,0.7499997439229797,pre_sa,0.0,55.03524797047682,-24.140153884887695,0,0.0,0.0,0.0,binary_functor,-241401.53884887695,0.00041774078272283077,-24.140178680419922,-24.140153884887695,3.281359906015524e-11,30.0,11,12,4,binary_functor:r1,0.0,0.0,-2414015388.4887695,0.0,0.0,0.0
417493.7589135475,0.7499992815035876,layer0_post_sa,0.05375139013066238,67.87210484899015,-20.70232089360555,1,3.7746647712393964,0.0,0.0,binary_functor,-10.655647410612067,0.000509586437450101,-20.702349821726482,-20.70232089360555,7.759780992535234e-09,18.666666666666668,11,12,4,binary_functor:r1,3.648219986727291,1.7651105190459955,-9.2610671843275,3.7746647712393964,4.29607453274351e-16,1.796432319025142e-06
1869.5852474836804,0.7495041807206471,layer0_post_block,0.05132092573477626,71.0371645493526,-7.237984259923299,2,1.1137346995828852,0.0,0.0,binary_functor,-6.858462320113915,0.052640545492370926,-7.243447025616963,-7.237984259923299,0.0011988210450605645,2.9166666666666665,11,12,4,binary_functor:r1,3.6456930462464054,1.5565768340349009,-6.460577727396732,1.1137346995828852,2.2935863181650546e-06,0.00040089328995798545
19.905148389738905,0.7154537458118859,layer1_post_sa,0.051400096617966684,86.97594595761784,-0.0651557445526123,3,0.6015163891188628,0.5,0.5833333333333334,binary_functor,-0.08400961142753019,1.4929154415925343,-0.915560300151507,-0.0651557445526123,0.4339225838581721,1.4166666666666667,11,12,4,binary_functor:r1,4.470572025660606,1.6582824609521607,0.204794114692682,0.6015163891188628,0.02890442413150567,0.03594315057609428
19.990213224404936,0.6473488720861117,layer1_post_block,0.05071928959761652,101.65441863779671,1.1841517289479573,4,0.6673245866985794,0.9166666666666666,0.9166666666666666,binary_functor,1.449568647309744,1.504970024029414,-0.4985211069385211,1.1841517289479573,0.6275084291895231,1.0833333333333333,11,12,4,binary_functor:r1,5.155839897767757,1.8038228078253438,1.3017097976959295,0.6673245866985794,0.025470596052759874,0.0323832900039205
21.48095189132465,0.6183254612439579,layer2_post_sa,0.05283589756947602,113.92927000981061,1.653076966603597,5,0.7946409457379446,0.9166666666666666,0.9166666666666666,binary_functor,1.8544178636932351,1.114941934744517,-0.33554633768896264,1.653076966603597,0.7302826022108396,1.0833333333333333,11,12,4,binary_functor:r1,6.0195552404035295,1.9874049628903903,1.4090678316309855,0.7946409457379446,0.022162445557155967,0.02878482594124129
35.64495507799909,0.6373380449443307,layer2_post_block,0.05557355403554338,128.66717773449304,2.58248504002889,6,1.0605819316197638,1.0,1.0,binary_functor,2.507642953672836,0.7431792741020521,-0.16686575518300137,2.58248504002889,0.8534111231565475,1.0,11,12,4,binary_functor:r1,7.150492354428713,2.159347812343307,2.196712950751071,1.0605819316197638,0.011549572509838235,0.017880175288471908
74707.22907293419,0.7497475930574643,layer3_post_sa,0.057626604470384916,132.67512097566635,9.951846679051718,7,0.39458994625626026,1.0,1.0,binary_functor,15.842753433942015,0.0018830273766070604,-0.00011633177776578425,9.951846679051718,0.9998836765686671,1.0,11,12,4,binary_functor:r1,7.645616719525194,2.147151928469253,14.603393309950913,0.39458994625626026,3.446272089251344e-09,1.0035810487971793e-05
196640.07027109375,0.7497225830964801,layer3_post_block,0.0863057618102116,176.56679839499586,11.459195057551065,8,0.46293162778758384,1.0,1.0,binary_functor,16.842078249591747,0.0005659779053530656,-3.076655722603997e-05,11.459195057551065,0.9999692340691885,1.0,11,12,4,binary_functor:r1,15.238732045870165,2.7107040727035,15.742894124972901,0.46293162778758384,3.350440463787945e-10,3.812664336739153e-06
74999974.39229797,0.7499997439229797,pre_sa,0.0,55.03524797047682,-24.140153884887695,0,0.0,0.0,0.0,binary_functor,-241401.53884887695,0.00041774078272283077,-24.140178680419922,-24.140153884887695,3.281359906015524e-11,30.0,11,12,8,binary_functor:r1,0.0,0.0,-2414015388.4887695,0.0,0.0,0.0
51708.74605537346,0.750000930268587,layer0_post_sa,0.05287968096348421,67.07621252908189,-19.91166353225708,1,2.6550931397327573,0.0,0.0,binary_functor,-12.219900335065315,0.001799049372493755,-19.91178560256958,-19.91166353225708,7.260313278819226e-09,21.583333333333332,11,12,8,binary_functor:r1,3.5469687187767125,3.6325552889121306,-11.850506120556672,2.6550931397327573,1.2891188357207613e-16,1.4504334130737417e-05
931.4889747365557,0.7483326459313161,layer0_post_block,0.04944537214921918,70.9423550264721,-7.332492828369141,2,0.7589512102504986,0.0,0.0,binary_functor,-8.416755570729507,0.07616417948156595,-7.340734601020813,-7.332492828369141,0.0009579889471448647,3.5833333333333335,11,12,8,binary_functor:r1,3.507771145425943,3.4436880641300442,-12.903530228425232,0.7589512102504986,1.0754426691150821e-06,0.0008033725210144972
12.557625181075545,0.616083976100071,layer1_post_sa,0.05136910870684088,82.97357062644306,-0.2420039176940918,3,0.5138835402473309,0.3333333333333333,0.3333333333333333,binary_functor,-0.33759036155268285,1.9838729600111644,-1.2716149886449177,-0.2420039176940918,0.312776609013478,2.0,11,12,8,binary_functor:r1,4.262278369304493,3.4333946660426102,-0.4522176506754439,0.5138835402473309,0.022682124571701833,0.049060548249880494
11.342322771508499,0.5444974660997381,layer1_post_block,0.05046254962213031,96.90429309674006,0.22980848948160806,4,0.9914818634297813,0.6666666666666666,0.75,binary_functor,0.2307935560594193,1.9458431998888652,-1.0220702985922496,0.22980848948160806,0.404404782379667,1.4166666666666667,11,12,8,binary_functor:r1,4.890037698991705,3.6581408655221965,0.796901874416906,0.9914818634297813,0.03035965580052443,0.04800581653940372
9.142232342270193,0.47614150763185703,layer2_post_sa,0.05293370887599531,109.87692775560818,0.24341201782226562,5,1.28116954012049,0.6666666666666666,0.6666666666666666,binary_functor,0.2150496363499966,1.624203125635783,-0.9096038614710172,0.24341201782226562,0.45736330064634484,1.3333333333333333,11,12,8,binary_functor:r1,5.8161933060041315,4.3067019077114885,0.2637398287952542,1.28116954012049,0.040705362375274584,0.052081536522579984
