accuracy,branching,distractors,evaluation_axis,mean_margin,mean_target_probability,model_depth,model_seed,n,predicate,required_path,total_depth
0.125,1,4,branching,-3.531675378481547,0.05564314022326281,6,11,48,parent,1,8
0.16666666666666666,2,4,branching,-3.1699539671341577,0.07192902563612809,6,11,48,parent,1,8
0.1875,4,4,branching,-3.43169105052948,0.07567831529039874,6,11,48,parent,1,8
0.125,8,4,branching,-4.115510871013005,0.04715925807037517,6,11,48,parent,1,8
0.041666666666666664,2,4,distractors,-3.70001250008742,0.04921524908680416,6,11,48,parent,1,8
0.0625,1,4,branching,-4.065794815619786,0.03672086729053111,6,11,48,grandparent,2,8
0.08333333333333333,2,4,branching,-4.047093619902928,0.0422211375824458,6,11,48,grandparent,2,8
0.125,4,4,branching,-3.236005127429962,0.06967484991090107,6,11,48,grandparent,2,8
0.125,8,4,branching,-3.7618530144294104,0.06210557172957939,6,11,48,grandparent,2,8
0.14583333333333334,2,4,distractors,-3.3943664530913034,0.0526160462838258,6,11,48,grandparent,2,8
0.14583333333333334,1,4,branching,-3.342941462993622,0.08636612714664693,6,11,48,root,8,8
0.08333333333333333,2,4,branching,-4.089062531789144,0.03222125557245666,6,11,48,root,8,8
0.0625,4,4,branching,-3.4876155257225037,0.053030481443177756,6,11,48,root,8,8
0.125,8,4,branching,-3.719151109457016,0.06197783683008614,6,11,48,root,8,8
0.0,2,4,distractors,-4.498662978410721,0.024482828719650723,6,11,48,root,8,8
0.10416666666666667,2,4,depth_path,-3.128370299935341,0.06543046720556352,6,11,48,ancestor_k,4,5
0.1875,2,4,depth_path,-3.3409775843222937,0.09951587569761007,6,11,48,ancestor_k,3,6
0.16666666666666666,2,4,depth_path,-2.9574396312236786,0.07861725945773894,6,11,48,ancestor_k,1,8
0.9583333333333334,2,4,depth_path,8.141772508621216,0.9471408510192608,6,11,48,isAncestor,1,8
0.9375,2,4,depth_path,7.829798559347789,0.9173214283994943,6,11,48,isAncestor,2,8
0.9166666666666666,2,4,depth_path,7.853791236877441,0.9146000798858344,6,11,48,isAncestor,3,8
0.9583333333333334,2,4,depth_path,8.125771721204122,0.9448087323689833,6,11,48,isAncestor,4,8
0.9583333333333334,2,4,depth_path,8.122723400592804,0.9438588826839501,6,11,48,isAncestor,5,8
0.9583333333333334,2,4,depth_path,8.16276482741038,0.9312685985350981,6,11,48,isAncestor,6,8
0.9583333333333334,2,4,depth_path,8.08725368976593,0.933991338708438,6,11,48,isAncestor,8,8
1.0,1,4,branching,8.847562372684479,0.9892500576873621,6,11,48,isAncestor,3,8
0.9791666666666666,2,4,branching,8.38721176981926,0.9529600368502239,6,11,48,isAncestor,3,8
0.9375,4,4,branching,7.930082490046819,0.9257319164832248,6,11,48,isAncestor,3,8
0.9375,8,4,branching,8.263178904851278,0.9301441335030821,6,11,48,isAncestor,3,8
0.9583333333333334,2,4,distractors,7.7429690559705096,0.9424529095219137,6,11,48,isAncestor,3,8
0.14583333333333334,2,4,depth_path,-3.0712184508641562,0.08452603359425363,6,11,48,ancestor_k,5,5
0.041666666666666664,2,4,depth_path,-3.981642246246338,0.05181941110226044,6,11,48,ancestor_k,4,6
0.14583333333333334,2,4,depth_path,-3.1765282452106476,0.0653968268331558,6,11,48,ancestor_k,2,8
0.125,2,4,depth_path,-3.8359907070795694,0.07447011861750259,6,11,48,ancestor_k,5,6
0.125,2,4,depth_path,-3.2015751699606576,0.07511293910548981,6,11,48,ancestor_k,3,8
0.10416666666666667,1,4,branching,-3.420940021673838,0.06758468155647772,6,11,48,ancestor_k,3,8
0.14583333333333334,2,4,branching,-2.977268397808075,0.07426632215174322,6,11,48,ancestor_k,3,8
0.10416666666666667,4,4,branching,-3.281668186187744,0.07897375734974806,6,11,48,ancestor_k,3,8
0.14583333333333334,8,4,branching,-3.081245412429174,0.08254665394118395,6,11,48,ancestor_k,3,8
0.08333333333333333,2,4,distractors,-3.6073965777953467,0.05074788858094811,6,11,48,ancestor_k,3,8
0.0625,2,4,depth_path,-3.956697632869085,0.049641915471587104,6,11,48,parent,1,12
0.08333333333333333,2,4,depth_path,-3.6137382288773856,0.05700441299525968,6,11,48,grandparent,2,12
0.08333333333333333,2,4,depth_path,-3.7585482001304626,0.06871489804022228,6,11,48,ancestor_k,6,6
0.08333333333333333,2,4,depth_path,-3.0835379660129547,0.060459173541024334,6,11,48,ancestor_k,4,8
0.0,2,4,depth_path,-5.373150085409482,0.011384808676316638,6,11,48,root,12,12
0.0625,2,4,depth_path,-4.180254439512889,0.034359563395658675,6,11,48,ancestor_k,5,8
0.10416666666666667,2,4,depth_path,-3.951839899023374,0.0513418152571982,6,11,48,ancestor_k,1,12
0.9583333333333334,2,4,depth_path,7.551435768604279,0.9378510976099884,6,11,48,isAncestor,1,12
0.9791666666666666,2,4,depth_path,7.618176519870758,0.9388437664025938,6,11,48,isAncestor,2,12
0.9791666666666666,2,4,depth_path,7.7142649094263716,0.9383528010809338,6,11,48,isAncestor,3,12
0.9583333333333334,2,4,depth_path,7.727657834688823,0.9485495533062931,6,11,48,isAncestor,4,12
0.9791666666666666,2,4,depth_path,7.771631737550099,0.9519251828902876,6,11,48,isAncestor,5,12
0.9791666666666666,2,4,depth_path,7.869746883710225,0.9652895475937839,6,11,48,isAncestor,6,12
0.9791666666666666,2,4,depth_path,7.787923812866211,0.9533770924323713,6,11,48,isAncestor,8,12
0.9583333333333334,2,4,depth_path,7.67208065589269,0.9390999353690859,6,11,48,isAncestor,12,12
0.08333333333333333,2,4,depth_path,-4.301054547230403,0.0469030715792087,6,11,48,ancestor_k,6,8
0.0625,2,4,depth_path,-3.6339689940214157,0.053589913275724634,6,11,48,ancestor_k,2,12
0.0625,2,4,depth_path,-3.6334927678108215,0.05335803053848546,6,11,48,ancestor_k,3,12
0.020833333333333332,2,4,depth_path,-3.862117658058802,0.026087791256410735,6,11,48,parent,1,16
0.10416666666666667,2,4,depth_path,-3.364701305826505,0.061513585217426225,6,11,48,grandparent,2,16
0.041666666666666664,2,4,depth_path,-4.656759992241859,0.020037845333144826,6,11,48,ancestor_k,8,8
0.020833333333333332,2,4,depth_path,-4.3744780868291855,0.02966996980217118,6,11,48,ancestor_k,4,12
0.020833333333333332,2,4,depth_path,-4.29302604496479,0.025456725513928784,6,11,48,root,16,16
0.125,2,4,depth_path,-4.494975457588832,0.0485903352381564,6,11,48,ancestor_k,5,12
0.020833333333333332,2,4,depth_path,-3.8100573122501373,0.026725368442005976,6,11,48,ancestor_k,1,16
0.9583333333333334,2,4,depth_path,7.530845334132512,0.9458045650511243,6,11,48,isAncestor,1,16
0.9583333333333334,2,4,depth_path,7.296700934569041,0.9323475399602709,6,11,48,isAncestor,2,16
0.9583333333333334,2,4,depth_path,7.216091841459274,0.9231386434524514,6,11,48,isAncestor,3,16
0.9583333333333334,2,4,depth_path,7.3680388530095415,0.9317812430599588,6,11,48,isAncestor,4,16
0.9583333333333334,2,4,depth_path,7.2372433344523115,0.9220798985649404,6,11,48,isAncestor,5,16
0.9583333333333334,2,4,depth_path,7.189896424611409,0.9270579369355497,6,11,48,isAncestor,6,16
0.9375,2,4,depth_path,7.254929920037587,0.9185986216107267,6,11,48,isAncestor,8,16
0.9583333333333334,2,4,depth_path,7.131680965423584,0.9270131241767862,6,11,48,isAncestor,12,16
0.020833333333333332,2,4,depth_path,-5.110435475905736,0.012799864841269937,6,11,48,ancestor_k,6,12
0.10416666666666667,2,4,depth_path,-3.3360454936822257,0.058442646399422905,6,11,48,ancestor_k,2,16
0.041666666666666664,2,4,depth_path,-4.234707747896512,0.022484356863931982,6,11,48,ancestor_k,3,16
0.08333333333333333,2,4,depth_path,-4.772070586681366,0.026796604598776714,6,11,48,ancestor_k,8,12
0.0625,2,4,depth_path,-4.078637440999349,0.03787625884939416,6,11,48,ancestor_k,4,16
0.08333333333333333,2,16,distractors,-3.7259143690268197,0.056667285563757254,6,11,48,parent,1,8
0.125,2,16,distractors,-3.7187795837720237,0.049225650969371294,6,11,48,grandparent,2,8
0.041666666666666664,2,16,distractors,-4.809534380833308,0.026033110602990444,6,11,48,root,8,8
0.0,2,4,depth_path,-4.562262376149495,0.012041050059792724,6,11,48,ancestor_k,5,16
0.9583333333333334,2,16,distractors,7.662042597929637,0.9380829897903217,6,11,48,isAncestor,3,8
0.0625,2,4,depth_path,-4.5177029222249985,0.032705791627374005,6,11,48,ancestor_k,6,16
0.14583333333333334,2,16,distractors,-3.3656989137331643,0.059855385061003595,6,11,48,ancestor_k,3,8
0.020833333333333332,2,4,depth_path,-4.346876511971156,0.009897028308993564,6,11,48,parent,1,24
0.125,2,4,depth_path,-3.6524194478988647,0.050677910294780304,6,11,48,grandparent,2,24
0.0,2,4,depth_path,-5.2223091920216875,0.013087093942755127,6,11,48,ancestor_k,12,12
0.041666666666666664,2,4,depth_path,-4.575335462888082,0.020472984595092687,6,11,48,ancestor_k,8,16
0.041666666666666664,2,4,depth_path,-4.472692857186,0.011335888855664203,6,11,48,root,24,24
0.020833333333333332,2,4,depth_path,-4.305963436762492,0.01110825864770959,6,11,48,ancestor_k,1,24
1.0,2,4,depth_path,8.03418105840683,0.9714500332872072,6,11,48,isAncestor,1,24
1.0,2,4,depth_path,7.921057939529419,0.9701532622178396,6,11,48,isAncestor,2,24
1.0,2,4,depth_path,7.7920215129852295,0.9629766282935938,6,11,48,isAncestor,3,24
1.0,2,4,depth_path,7.920427660147349,0.9654076856871446,6,11,48,isAncestor,4,24
1.0,2,4,depth_path,7.940280059973399,0.9680568886299928,6,11,48,isAncestor,5,24
1.0,2,4,depth_path,7.742184032996495,0.9604515532652537,6,11,48,isAncestor,6,24
1.0,2,4,depth_path,7.5937565465768175,0.9606161303818226,6,11,48,isAncestor,8,24
1.0,2,4,depth_path,8.146417299906412,0.9694200232625008,6,11,48,isAncestor,12,24
0.14583333333333334,2,4,depth_path,-3.658579111099243,0.04787952300792616,6,11,48,ancestor_k,2,24
