architecture,candidate_chain_first,example_id,heads,layers,model_seed,position_mode,positive,required_path,split,target_margin,template_id,top1_correct,total_depth,tree_seed,width
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10014,4,4,11,aligned,0,1,validation,0.006622314453125,1,1,3,211,64
L4_W64_H4,1,validation:d1:t1:paligned:tree211:i10015,4,4,11,aligned,1,1,validation,-0.09483528137207031,1,0,3,211,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10000,4,4,11,aligned,0,1,validation,0.07789993286132812,1,1,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10001,4,4,11,aligned,1,1,validation,0.04152870178222656,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10002,4,4,11,aligned,0,1,validation,0.030614852905273438,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10003,4,4,11,aligned,1,1,validation,-0.06715583801269531,1,0,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10004,4,4,11,aligned,0,1,validation,-0.0350799560546875,1,0,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10005,4,4,11,aligned,1,1,validation,-0.0529937744140625,1,0,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10006,4,4,11,aligned,0,1,validation,0.02292633056640625,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10007,4,4,11,aligned,1,1,validation,0.027669906616210938,1,1,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10008,4,4,11,aligned,0,1,validation,0.06427764892578125,1,1,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10009,4,4,11,aligned,1,1,validation,0.0019073486328125,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10010,4,4,11,aligned,0,1,validation,0.029897689819335938,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10011,4,4,11,aligned,1,1,validation,-0.04567146301269531,1,0,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10012,4,4,11,aligned,0,1,validation,-0.015722274780273438,1,0,3,307,64
L4_W64_H4,0,validation:d1:t1:paligned:tree307:i10013,4,4,11,aligned,1,1,validation,0.022846221923828125,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10014,4,4,11,aligned,0,1,validation,0.03571319580078125,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:paligned:tree307:i10015,4,4,11,aligned,1,1,validation,0.03189659118652344,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:prandomized:tree101:i10003,4,4,11,randomized,1,1,validation,-0.022569656372070312,1,0,3,101,64
L4_W64_H4,0,validation:d1:t1:prandomized:tree211:i10000,4,4,11,randomized,0,1,validation,0.04875755310058594,1,1,3,211,64
L4_W64_H4,0,validation:d1:t1:prandomized:tree211:i10004,4,4,11,randomized,0,1,validation,-0.0063190460205078125,1,0,3,211,64
L4_W64_H4,1,validation:d1:t1:prandomized:tree211:i10010,4,4,11,randomized,0,1,validation,-0.020427703857421875,1,0,3,211,64
L4_W64_H4,0,validation:d1:t1:prandomized:tree307:i10000,4,4,11,randomized,0,1,validation,0.07789993286132812,1,1,3,307,64
L4_W64_H4,1,validation:d1:t1:prandomized:tree307:i10002,4,4,11,randomized,0,1,validation,0.030614852905273438,1,1,3,307,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10000,4,4,11,aligned,0,1,validation,0.13109207153320312,2,1,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10001,4,4,11,aligned,1,1,validation,-0.05545997619628906,2,0,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10002,4,4,11,aligned,0,1,validation,0.043018341064453125,2,1,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10003,4,4,11,aligned,1,1,validation,-0.028078079223632812,2,0,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10004,4,4,11,aligned,0,1,validation,-0.08735275268554688,2,0,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10005,4,4,11,aligned,1,1,validation,-0.012098312377929688,2,0,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10006,4,4,11,aligned,0,1,validation,0.08680152893066406,2,1,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10007,4,4,11,aligned,1,1,validation,-0.08379554748535156,2,0,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10008,4,4,11,aligned,0,1,validation,0.013849258422851562,2,1,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10009,4,4,11,aligned,1,1,validation,-0.022724151611328125,2,0,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10010,4,4,11,aligned,0,1,validation,0.09617042541503906,2,1,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10011,4,4,11,aligned,1,1,validation,-0.13251686096191406,2,0,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10012,4,4,11,aligned,0,1,validation,0.07028579711914062,2,1,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree101:i10013,4,4,11,aligned,1,1,validation,0.014081954956054688,2,1,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10014,4,4,11,aligned,0,1,validation,0.07994651794433594,2,1,3,101,64
L4_W64_H4,1,validation:d1:t2:paligned:tree101:i10015,4,4,11,aligned,1,1,validation,0.03862571716308594,2,1,3,101,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10000,4,4,11,aligned,0,1,validation,0.05183982849121094,2,1,3,211,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10001,4,4,11,aligned,1,1,validation,-0.052845001220703125,2,0,3,211,64
L4_W64_H4,1,validation:d1:t2:paligned:tree211:i10002,4,4,11,aligned,0,1,validation,-0.010044097900390625,2,0,3,211,64
L4_W64_H4,1,validation:d1:t2:paligned:tree211:i10003,4,4,11,aligned,1,1,validation,0.017589569091796875,2,1,3,211,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10004,4,4,11,aligned,0,1,validation,-0.0048542022705078125,2,0,3,211,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10005,4,4,11,aligned,1,1,validation,0.021757125854492188,2,1,3,211,64
L4_W64_H4,1,validation:d1:t2:paligned:tree211:i10006,4,4,11,aligned,0,1,validation,-0.00188446044921875,2,0,3,211,64
L4_W64_H4,1,validation:d1:t2:paligned:tree211:i10007,4,4,11,aligned,1,1,validation,-0.10204505920410156,2,0,3,211,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10008,4,4,11,aligned,0,1,validation,-0.012952804565429688,2,0,3,211,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10009,4,4,11,aligned,1,1,validation,0.0030536651611328125,2,1,3,211,64
L4_W64_H4,1,validation:d1:t2:paligned:tree211:i10010,4,4,11,aligned,0,1,validation,-0.009550094604492188,2,0,3,211,64
L4_W64_H4,1,validation:d1:t2:paligned:tree211:i10011,4,4,11,aligned,1,1,validation,-0.011278152465820312,2,0,3,211,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10012,4,4,11,aligned,0,1,validation,-0.0069370269775390625,2,0,3,211,64
L4_W64_H4,0,validation:d1:t2:paligned:tree211:i10013,4,4,11,aligned,1,1,validation,-0.06127357482910156,2,0,3,211,64
L4_W64_H4,1,validation:d1:t2:paligned:tree211:i10014,4,4,11,aligned,0,1,validation,0.014209747314453125,2,1,3,211,64
